DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON,year,hour,crime_severity
231712755,2023-06-06,2023-05-27,1200,17,Devonshire,1772,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0330,0,X,X,107.0,VACANT LOT,0.0,Unknown,IC,Invest Cont,668.0,0.0,0.0,0.0,9400    PENFIELD                     AV,Unknown,34.2403,-118.5695,2023,12,Low
201706349,2020-02-24,2020-02-21,1800,17,Devonshire,1745,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1307,65,M,B,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,BALBOA,KINGSBURY,34.2636,-118.5023,2020,18,Low
201227031,2020-12-23,2020-12-23,1930,12,77th Street,1255,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1202 1701 0400 0408 0561,72,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230.0,0.0,0.0,0.0,1200 W  77TH                         ST,Unknown,33.9702,-118.2981,2020,19,Moderate
222017056,2022-11-13,2022-11-13,1930,20,Olympic,2097,1,330,BURGLARY FROM VEHICLE,0344 0358 2004 0369 1822 2021,65,M,O,101.0,STREET,0.0,Unknown,AA,Adult Arrest,330.0,0.0,0.0,0.0,SANTA MONICA,BUDLONG,34.0385,-118.2959,2022,19,Moderate
241108175,2024-05-17,2024-05-16,2100,11,Northeast,1135,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Unknown,0,X,X,707.0,GARAGE/CARPORT,0.0,Unknown,IC,Invest Cont,522.0,0.0,0.0,0.0,3900    SCANDIA                      WY,Unknown,34.118,-118.2283,2024,21,Low
221108273,2022-04-24,2022-04-24,1525,11,Northeast,1118,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2050 2052 1402 1822 0910 0334 0432 0443,30,F,H,971.0,MTA - GOLD LINE - HIGHLAND PARK,102.0,HAND GUN,AO,Adult Other,230.0,998.0,0.0,0.0,100 N  AVENUE 57,Unknown,34.1096,-118.1928,2022,15,Moderate
221613548,2022-10-22,2022-10-22,2100,16,Foothill,1659,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,38,M,W,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,9900    MARNICE                      AV,Unknown,34.2472,-118.2722,2022,21,Low
220817721,2022-12-05,2022-12-03,1200,8,West LA,827,2,354,THEFT OF IDENTITY,0100 1822 0922 0929 0930,41,F,H,602.0,BANK,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,11600    SAN VICENTE                  BL,Unknown,34.054,-118.4623,2022,12,Low
221606916,2022-04-02,2022-04-01,1840,16,Foothill,1643,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300,47,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,Unknown,AO,Adult Other,745.0,0.0,0.0,0.0,13200    VAN NUYS                     BL,Unknown,34.2656,-118.4228,2022,18,Low
241412754,2024-09-01,2024-09-01,1210,14,Pacific,1431,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,29,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,440.0,0.0,0.0,0.0,00    20TH                         AV,Unknown,33.9854,-118.4707,2024,12,Low
240309767,2024-04-26,2024-04-26,1830,3,Southwest,394,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0408 0448 0605 1822,23,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,230.0,0.0,0.0,0.0,LEIMERT,MARTIN LUTHER KING JR        BL,34.0106,-118.3225,2024,18,Moderate
201513337,2020-07-30,2020-07-30,830,15,N Hollywood,1567,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,M,O,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,740.0,0.0,0.0,0.0,10700 W  RIVERSIDE                    DR,Unknown,34.1522,-118.3642,2020,8,Low
211213205,2021-06-02,2021-06-02,235,12,77th Street,1233,1,310,BURGLARY,0344 0346 0601 0321 0329 0358 1822,0,X,X,213.0,WAREHOUSE,0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,5900 S  WESTERN                      AV,Unknown,33.9867,-118.3089,2021,2,Moderate
200317350,2020-09-14,2020-09-13,900,3,Southwest,362,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",0913 2000 1814 1906,40,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,956.0,0.0,0.0,0.0,4000    COCO                         AV,Unknown,34.0136,-118.3501,2020,9,Low
210415869,2021-12-14,2021-10-22,1830,4,Hollenbeck,488,2,922,CHILD STEALING,1241 1813,26,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,922.0,0.0,0.0,0.0,1100    EUCLID                       AV,Unknown,34.026,-118.2103,2021,18,Low
221214273,2022-06-21,2022-06-21,900,12,77th Street,1218,1,761,BRANDISH WEAPON,2004 0554 0913 2001 0334 0421,46,F,H,501.0,SINGLE FAMILY DWELLING,204.0,FOLDING KNIFE,IC,Invest Cont,761.0,930.0,0.0,0.0,900 W  57TH                         ST,Unknown,33.9905,-118.2897,2022,9,Low
212005646,2021-02-16,2021-02-13,1015,20,Olympic,2071,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0319 0913 0515 1818 1202 1238,56,F,W,701.0,HOSPITAL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,815.0,0.0,0.0,0.0,3200 W  PICO                         BL,Unknown,34.0472,-118.313,2021,10,Low
240507667,2024-04-06,2024-04-06,1623,5,Harbor,518,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0352 0344,0,X,X,121.0,YARD (RESIDENTIAL/BUSINESS),0.0,Unknown,IC,Invest Cont,442.0,0.0,0.0,0.0,200 E  PACIFIC COAST                HY,Unknown,33.798,-118.2604,2024,16,Low
240807174,2024-03-21,2024-03-21,600,8,West LA,824,1,330,BURGLARY FROM VEHICLE,1822 1307 1309 0344,69,F,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,0.0,0.0,0.0,300    AMALFI                       DR,Unknown,34.0322,-118.5148,2024,6,Moderate
211007779,2021-05-07,2020-11-01,850,10,West Valley,1061,2,354,THEFT OF IDENTITY,1822 0935,41,F,O,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,5200    COLLIER                      PL,Unknown,34.1653,-118.5648,2020,8,Low
220110581,2022-04-18,2022-02-07,1,1,Central,159,2,354,THEFT OF IDENTITY,0344 1822 0930 0922 0929,41,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,800 E  4TH                          ST,Unknown,34.0435,-118.2366,2022,0,Low
201516229,2020-10-13,2020-10-12,1800,15,N Hollywood,1522,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,ETHEL                        ST,SHERMAN                      WY,34.2012,-118.4181,2020,18,Low
240104317,2024-01-05,2024-01-05,1400,1,Central,152,1,210,ROBBERY,0910 0344 0446 1822 1218,38,F,H,903.0,MTA - RED LINE - 7TH AND METRO CENTER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,0.0,0.0,0.0,600 S  FIGUEROA                     ST,Unknown,34.0508,-118.2586,2024,14,Moderate
240805294,2024-02-04,2024-02-04,200,8,West LA,897,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0448 0444 0400,25,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,9700    NATIONAL                     BL,Unknown,34.0314,-118.3988,2024,2,Moderate
201311788,2020-06-03,2020-06-03,1430,13,Newton,1317,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,0,X,X,704.0,ELEMENTARY SCHOOL,0.0,Unknown,IC,Invest Cont,740.0,0.0,0.0,0.0,1300 E  20TH                         ST,Unknown,34.0245,-118.244,2020,14,Low
241009462,2024-06-17,2024-06-15,1600,10,West Valley,1008,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,6600    HAYVENHURST                  AV,Unknown,34.1903,-118.4924,2024,16,Low
210814474,2021-09-23,2021-09-22,1610,8,West LA,823,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1202 0344 0385 1822,78,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,331.0,0.0,0.0,0.0,HAVERFORD,RADCLIFFE,34.0473,-118.5286,2021,16,Low
210306520,2021-02-23,2021-02-22,2030,3,Southwest,355,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,AO,Adult Other,510.0,0.0,0.0,0.0,1900    OBAMA                        BL,Unknown,34.0219,-118.3133,2021,20,Low
210514507,2021-10-04,2021-10-04,1830,5,Harbor,503,1,820,ORAL COPULATION,0500 1814 0913 2000,58,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,820.0,0.0,0.0,0.0,25400    PINE CREEK                   LN,Unknown,33.7911,-118.2849,2021,18,Low
231316929,2023-09-07,2023-09-07,1930,13,Newton,1362,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0913,0,F,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,0.0,0.0,0.0,400 E  52ND                         ST,Unknown,33.9981,-118.2697,2023,19,Low
221111238,2022-07-06,2022-07-06,1225,11,Northeast,1163,1,320,"BURGLARY, ATTEMPTED",1501,40,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,320.0,0.0,0.0,0.0,4800    LEXINGTON                    AV,Unknown,34.0934,-118.2939,2022,12,Moderate
210114475,2021-08-01,2021-08-01,1440,1,Central,185,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),2004 0325,0,X,X,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,442.0,0.0,0.0,0.0,1000 S  SANTEE                       ST,Unknown,34.0378,-118.2561,2021,14,Low
220909414,2022-05-22,2022-04-19,930,9,Van Nuys,901,1,310,BURGLARY,1414 0344,36,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,7500 N  SEPULVEDA                    BL,Unknown,34.2085,-118.4698,2022,9,Moderate
231206576,2023-02-11,2023-02-11,1555,12,77th Street,1267,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307 2004,42,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,Unknown,AA,Adult Arrest,740.0,0.0,0.0,0.0,900 W  84TH                         ST,Unknown,33.9624,-118.2895,2023,15,Low
231810650,2023-05-19,2023-05-19,1646,18,Southeast,1804,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0344 0352 1822,21,M,H,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,442.0,0.0,0.0,0.0,8600    AVALON                       BL,Unknown,33.9601,-118.2651,2023,16,Low
231218043,2023-08-21,2023-08-21,540,12,77th Street,1215,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0401 0411 1822,33,M,B,104.0,DRIVEWAY,204.0,FOLDING KNIFE,IC,Invest Cont,230.0,0.0,0.0,0.0,5500    DENKER                       AV,Unknown,33.9924,-118.3046,2023,5,Moderate
241408059,2024-03-30,2024-03-30,1150,14,Pacific,1437,2,624,BATTERY - SIMPLE ASSAULT,0400,27,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,0.0,0.0,0.0,11100    CHARNOCK                     RD,Unknown,34.0176,-118.4189,2024,11,Moderate
240605292,2024-01-24,2024-01-22,2000,6,Hollywood,626,1,330,BURGLARY FROM VEHICLE,0329 1300 2303 0377 1822,31,F,W,101.0,STREET,0.0,Unknown,IC,Invest Cont,330.0,0.0,0.0,0.0,2000    IVAR                         AV,Unknown,34.1069,-118.3283,2024,20,Moderate
230714492,2023-09-11,2023-09-11,1215,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1402 0344,0,X,X,404.0,DEPARTMENT STORE,0.0,Unknown,IC,Invest Cont,442.0,998.0,0.0,0.0,8400    BEVERLY                      BL,Unknown,34.0761,-118.3732,2023,12,Low
221718271,2022-12-27,2022-12-02,400,17,Devonshire,1761,2,354,THEFT OF IDENTITY,1822,29,F,B,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,21400    PLUMMER                      ST,Unknown,34.2427,-118.5976,2022,4,Low
241807249,2024-03-08,2024-02-21,1600,18,Southeast,1861,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1501,26,F,O,504.0,OTHER RESIDENCE,0.0,Unknown,IC,Invest Cont,956.0,0.0,0.0,0.0,11500    MENLO                        AV,Unknown,33.9299,-118.2893,2024,16,Low
230813555,2023-08-22,2023-08-22,1125,8,West LA,831,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0346 1822,42,M,W,101.0,STREET,0.0,Unknown,IC,Invest Cont,341.0,480.0,0.0,0.0,11900    KIOWA                        AV,Unknown,34.0485,-118.4657,2023,11,Low
221404656,2022-01-15,2021-11-02,1200,14,Pacific,1496,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Unknown,0,X,X,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,668.0,0.0,0.0,0.0,9700    AIRPORT                      BL,Unknown,33.9472,-118.3909,2021,12,Low
240507133,2024-03-23,2024-03-23,1015,5,Harbor,521,1,210,ROBBERY,2004 0945 1822 0387 0344 0334,0,X,X,243.0,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",114.0,AIR PISTOL/REVOLVER/RIFLE/BB GUN,AA,Adult Arrest,210.0,0.0,0.0,0.0,2100 N  GAFFEY                       ST,Unknown,33.7639,-118.2934,2024,10,Moderate
231421717,2023-12-12,2023-12-06,100,14,Pacific,1483,1,310,BURGLARY,0344,0,X,X,721.0,HIGH SCHOOL,0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,8600    STANMOOR                     DR,Unknown,33.9597,-118.425,2023,1,Moderate
201316078,2020-08-27,2020-08-26,2000,13,Newton,1344,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,AA,Adult Arrest,510.0,0.0,0.0,0.0,700 E  41ST                         PL,Unknown,34.0082,-118.2633,2020,20,Low
220304858,2022-01-20,2022-01-20,1540,3,Southwest,316,2,624,BATTERY - SIMPLE ASSAULT,0913 0444 1202 0561 0602,62,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,0.0,0.0,0.0,2200 S  HOBART                       BL,Unknown,34.0362,-118.3078,2022,15,Moderate
220516707,2022-12-03,2022-12-02,1048,5,Harbor,532,2,354,THEFT OF IDENTITY,Unknown,25,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,1300    MCDONALD                     AV,Unknown,33.7887,-118.2717,2022,10,Low
230305203,2023-01-25,2023-01-24,2000,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,522.0,0.0,0.0,0.0,3700    MCCLINTOCK                   AV,Unknown,34.0197,-118.2905,2023,20,Low
240104157,2024-01-02,2024-01-01,1045,1,Central,142,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300,23,M,C,123.0,PARKING UNDERGROUND/BUILDING,0.0,Unknown,IC,Invest Cont,331.0,0.0,0.0,0.0,400 W  5TH                          ST,Unknown,34.0519,-118.2531,2024,10,Low
221401332,2022-11-19,2022-11-19,2320,14,Pacific,1458,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 1100 1402,19,F,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,998.0,0.0,0.0,SLAUSON,BRADDOCK,33.9966,-118.4116,2022,23,Moderate
200908999,2020-04-27,2020-04-26,2000,9,Van Nuys,952,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,BURBANK                      BL,WILLIS                       AV,34.1721,-118.4553,2020,20,Low
230111121,2023-04-23,2023-04-23,610,1,Central,182,2,888,TRESPASSING,0910 1501,0,X,X,933.0,MTA - BLUE LINE - GRAND/LATTC,0.0,Unknown,IC,Invest Cont,888.0,0.0,0.0,0.0,1200 S  FIGUEROA                     ST,Unknown,34.0419,-118.2669,2023,6,Low
242006146,2024-02-20,2024-02-20,1245,20,Olympic,2079,2,624,BATTERY - SIMPLE ASSAULT,0344 0371 0400 0416 0429 0444 0446 0906 1822,42,M,H,103.0,ALLEY,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,0.0,0.0,0.0,VENICE                       BL,HOOVER                       ST,34.0439,-118.2847,2024,12,Moderate
210315278,2021-09-02,2021-09-02,700,3,Southwest,357,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,1300 W  36TH                         PL,Unknown,34.0219,-118.2962,2021,7,Low
220210334,2022-05-14,2022-05-14,1030,2,Rampart,295,1,310,BURGLARY,2019 0321 1822 0344 1608,46,M,W,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,0.0,0.0,0.0,1400    CONSTANCE                    ST,Unknown,34.0419,-118.28,2022,10,Moderate
231708383,2023-04-19,2023-04-19,45,17,Devonshire,1766,1,310,BURGLARY,0216 1606 0344 0314,49,M,W,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,310.0,0.0,0.0,0.0,9600    SYLVIA                       AV,Unknown,34.2446,-118.5519,2023,0,Moderate
211512733,2021-08-04,2021-08-02,2300,15,N Hollywood,1526,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344,33,M,B,707.0,GARAGE/CARPORT,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,11600    OXNARD                       ST,Unknown,34.1849,-118.3834,2021,23,Low
201420073,2020-11-10,2020-11-09,1200,14,Pacific,1437,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,61,M,O,501.0,SINGLE FAMILY DWELLING,512.0,MACE/PEPPER SPRAY,AO,Adult Other,624.0,0.0,0.0,0.0,3700 S  BENTLEY                      AV,Unknown,34.0154,-118.4171,2020,12,Moderate
200808623,2020-04-23,2020-04-19,800,8,West LA,841,1,510,VEHICLE - STOLEN,Unknown,0,X,X,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,1200    BROCKTON                     AV,Unknown,34.046,-118.4652,2020,8,Low
211308196,2021-04-06,2021-04-06,1645,13,Newton,1346,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0400 1309,24,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,0.0,0.0,0.0,1300 E  41ST                         ST,Unknown,34.0091,-118.2507,2021,16,Moderate
221912065,2022-07-17,2022-07-17,1830,19,Mission,1972,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1813 2000 0444 0416 0913,29,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,8900    COLUMBUS                     AV,Unknown,34.2319,-118.4654,2022,18,Moderate
221207606,2022-03-01,2022-03-01,1,12,77th Street,1239,2,354,THEFT OF IDENTITY,Unknown,36,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,6000    MENLO                        AV,Unknown,33.9855,-118.2893,2022,0,Low
220804636,2021-12-28,2021-12-27,1010,8,West LA,849,2,354,THEFT OF IDENTITY,0100 0928 0930 1822,48,M,O,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,900 S  LE DOUX                      RD,Unknown,34.0583,-118.3799,2021,10,Low
231809681,2023-04-29,2023-04-29,100,18,Southeast,1846,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 2000 0448 0416 0432 0419 2002,30,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,0.0,0.0,0.0,11400 S  CENTRAL                      AV,Unknown,33.931,-118.2543,2023,1,Moderate
200407541,2020-04-03,2020-04-03,1600,4,Hollenbeck,491,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,40,M,H,101.0,STREET,0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,RIO VISTA,8TH                          ST,34.029,-118.2216,2020,16,Low
201907556,2020-03-12,2020-03-12,1615,19,Mission,1991,2,624,BATTERY - SIMPLE ASSAULT,0417 0416,28,M,H,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,0.0,0.0,0.0,15500    ROSCOE                       BL,Unknown,34.2214,-118.4699,2020,16,Moderate
221716071,2022-11-01,2022-10-29,1630,17,Devonshire,1719,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385 1822,52,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",0.0,Unknown,IC,Invest Cont,331.0,0.0,0.0,0.0,15500    RINALDI                      ST,Unknown,34.2791,-118.4706,2022,16,Low
230504243,2023-01-06,2023-01-05,1700,5,Harbor,587,2,354,THEFT OF IDENTITY,0930 1822,38,F,H,501.0,SINGLE FAMILY DWELLING,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,3300 S  PECK                         AV,Unknown,33.7143,-118.2917,2023,17,Low
201116655,2020-12-15,2020-03-10,800,11,Northeast,1102,1,510,VEHICLE - STOLEN,Unknown,0,X,X,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,4900    SAN FERNANDO                 RD,Unknown,34.1402,-118.2691,2020,8,Low
210210228,2021-06-03,2021-05-15,800,2,Rampart,275,2,354,THEFT OF IDENTITY,1202 0100 1822 0928,61,F,W,404.0,DEPARTMENT STORE,0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,1600 W  OLYMPIC                      BL,Unknown,34.0492,-118.2742,2021,8,Low
241813078,2024-09-13,2024-03-13,1515,18,Southeast,1823,2,354,THEFT OF IDENTITY,0100 1822,37,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",0.0,Unknown,IC,Invest Cont,354.0,0.0,0.0,0.0,10200 S  SAN PEDRO                    ST,Unknown,33.9438,-118.2695,2024,15,Low
211604892,2021-02-01,2021-01-15,1530,16,Foothill,1654,1,510,VEHICLE - STOLEN,Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,510.0,0.0,0.0,0.0,12100    BRANFORD                     ST,Unknown,34.257,-118.3994,2021,15,Low
220804129,2021-11-30,2021-11-19,24,8,West LA,824,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1202 1606 0321 0344 1822,70,F,W,104.0,DRIVEWAY,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,00    HALDEMAN                     RD,Unknown,34.0393,-118.5132,2021,0,Low
231321549,2023-12-04,2023-12-01,1500,13,Newton,1317,1,520,VEHICLE - ATTEMPT STOLEN,1300 0344 1612,46,F,H,108.0,PARKING LOT,0.0,Unknown,IC,Invest Cont,520.0,0.0,0.0,0.0,1300    NEWTON                       ST,Unknown,34.028,-118.2473,2023,15,Low
220120285,2022-09-10,2022-09-09,1700,1,Central,111,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,33,F,F,203.0,OTHER BUSINESS,0.0,Unknown,IC,Invest Cont,745.0,0.0,0.0,0.0,700 N  ALAMEDA                      ST,Unknown,34.0615,-118.2412,2022,17,Low
210208651,2021-04-26,2021-04-26,1720,2,Rampart,247,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0104 0400 0447 0329 0443 0913 1210,0,X,X,719.0,MEDICAL/DENTAL OFFICES,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,745.0,0.0,0.0,0.0,1700 W  6TH                          ST,Unknown,34.0596,-118.2701,2021,17,Low
220321869,2022-12-14,2022-12-13,1630,3,Southwest,321,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Unknown,0,X,X,101.0,STREET,0.0,Unknown,IC,Invest Cont,420.0,0.0,0.0,0.0,5700    CLEMSON                      ST,Unknown,34.024,-118.3692,2022,16,Low
230413049,2023-10-03,2023-06-01,1030,4,Hollenbeck,448,2,860,BATTERY WITH SEXUAL CONTACT,0913 1804 0400 0416 0500 0522,28,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,0.0,0.0,0.0,1600 N  INDIANA                      ST,Unknown,34.0591,-118.1965,2023,10,Low
220205087,2022-01-26,2021-08-01,1200,2,Rampart,237,1,121,"RAPE, FORCIBLE",1206 2002 0527 1817 0913,47,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,0.0,0.0,0.0,1500    CROWN HILL                   AV,Unknown,34.0594,-118.2643,2021,12,Severe
